Date,State,Category,Dollars,Unit sales,Volume sales,Dollars last year,Unit sales last year,Volume sales last year,Dollars 3 years ago,Unit sales 3 years ago,Volume sales 3 years ago,Percent change dollars 1 year,Percent change units 1 year,Percent change volume 1 year,Percent change dollars 3 years,Percent change units 3 years,Percent change volume 3 years,TMINA,TMAXA,TAVGA,SNWDA,SNOWA,PRCPA
06/10/2019,Alabama,Alcohol,"$23,611,285","2,974,221","837,930","$22,449,300","2,979,065","815,637",NA,NA,NA,5.2,-0.2,2.7,NA,NA,NA,19.4,38.3,28.37142857,0,0,9.9
13/10/2019,Alabama,Alcohol,"$23,220,758","2,895,573","830,131","$23,314,625","2,978,312","855,363",NA,NA,NA,-0.4,-2.8,-2.9,NA,NA,NA,11.7,30,21.01428571,0,0,23.9
20/10/2019,Alabama,Alcohol,"$21,770,283","2,730,939","762,832","$21,070,374","2,745,973","766,339",NA,NA,NA,3.3,-0.5,-0.5,NA,NA,NA,6.1,23.9,16.08571429,0,0,7.9
27/10/2019,Alabama,Alcohol,"$21,956,558","2,764,970","768,366","$20,188,919","2,651,957","713,812",NA,NA,NA,8.8,4.3,7.6,NA,NA,NA,5.6,23.9,17.24285714,0,0,56.7
03/11/2019,Alabama,Alcohol,"$23,183,482","2,872,683","815,352","$22,565,261","2,884,813","801,717",NA,NA,NA,2.7,-0.4,1.7,NA,NA,NA,-1,23.3,12.22857143,0,0,101.2
10/11/2019,Alabama,Alcohol,"$22,305,042","2,787,906","768,645","$19,889,222","2,636,924","693,984",NA,NA,NA,12.1,5.7,10.8,NA,NA,NA,-1.6,23.9,11.38571429,0,0,8.6
17/11/2019,Alabama,Alcohol,"$21,752,827","2,715,427","753,569","$20,079,479","2,605,810","681,261",NA,NA,NA,8.3,4.2,10.6,NA,NA,NA,-7.7,22.2,6.228571429,0,0,11.2
24/11/2019,Alabama,Alcohol,"$22,163,189","2,765,197","752,851","$23,787,504","2,900,939","805,853",NA,NA,NA,-6.8,-4.7,-6.6,NA,NA,NA,1.1,20,11.92857143,0,0,41.9
01/12/2019,Alabama,Alcohol,"$27,789,778","3,220,147","960,289","$19,623,984","2,533,266","692,656",NA,NA,NA,41.6,27.1,38.6,NA,NA,NA,1.1,23.3,14,0,0,9.1
08/12/2019,Alabama,Alcohol,"$20,495,494","2,592,792","705,014","$18,933,844","2,426,579","652,126",NA,NA,NA,8.2,6.8,8.1,NA,NA,NA,-0.5,19.4,9.1,0,0,2.3
15/12/2019,Alabama,Alcohol,"$20,781,878","2,594,439","688,171","$18,983,130","2,396,415","639,823",NA,NA,NA,9.5,8.3,7.6,NA,NA,NA,-1,21.1,9.771428571,0,0,36.3
22/12/2019,Alabama,Alcohol,"$23,981,651","2,879,960","762,051","$22,082,883","2,658,515","723,185",NA,NA,NA,8.6,8.3,5.4,NA,NA,NA,-3.2,22.8,8.457142857,0,0,68.8
29/12/2019,Alabama,Alcohol,"$25,197,834","2,904,698","814,282","$22,958,821","2,681,200","759,682",NA,NA,NA,9.8,8.3,7.2,NA,NA,NA,6.1,23.3,14.97142857,0,0,15.8
05/01/2020,Alabama,Alcohol,"$21,567,138","2,639,782","736,444","$19,528,730","2,437,819","675,988",NA,NA,NA,10.4,8.3,8.9,NA,NA,NA,-1.6,21.1,10.27142857,0,0,84.9
12/01/2020,Alabama,Alcohol,"$19,396,186","2,465,199","666,581","$18,538,508","2,393,258","645,852",NA,NA,NA,4.6,3,3.2,NA,NA,NA,-1,22.8,12.75714286,0,0,35.8
19/01/2020,Alabama,Alcohol,"$20,285,818","2,540,965","695,436","$18,063,041","2,310,107","621,083",NA,NA,NA,12.3,10,12,NA,NA,NA,-0.5,20.6,14.38571429,0,0,53.7
26/01/2020,Alabama,Alcohol,"$19,559,231","2,426,600","660,749","$18,444,817","2,344,732","629,663",NA,NA,NA,6,3.5,4.9,NA,NA,NA,-5.5,14.4,3.971428571,0,0,23.1
02/02/2020,Alabama,Alcohol,"$20,591,010","2,580,436","702,779","$19,633,251","2,501,591","677,293",NA,NA,NA,4.9,3.2,3.8,NA,NA,NA,0,20,9.257142857,0,0,1.6
09/02/2020,Alabama,Alcohol,"$20,827,318","2,616,737","709,759","$19,863,208","2,533,617","700,354",NA,NA,NA,4.9,3.3,1.3,NA,NA,NA,1.7,22.8,12.51428571,0,0,131.5
16/02/2020,Alabama,Alcohol,"$21,375,492","2,692,128","710,692","$19,572,959","2,509,055","667,516",NA,NA,NA,9.2,7.3,6.5,NA,NA,NA,-3.2,24.4,11.38571429,0,0,101.9
23/02/2020,Alabama,Alcohol,"$20,374,580","2,553,396","686,917","$19,893,200","2,540,245","690,117",NA,NA,NA,2.4,0.5,-0.5,NA,NA,NA,-3.2,18.9,8.728571429,0,0,79
01/03/2020,Alabama,Alcohol,"$21,199,217","2,637,953","729,409","$21,082,708","2,713,529","732,564",NA,NA,NA,0.6,-2.8,-0.4,NA,NA,NA,-1,19.4,8.814285714,0,0,24.1
08/03/2020,Alabama,Alcohol,"$21,607,537","2,699,994","727,788","$20,423,988","2,624,388","712,417",NA,NA,NA,5.8,2.9,2.2,NA,NA,NA,-1,22.8,12.52857143,0,0,115.8
15/03/2020,Alabama,Alcohol,"$26,309,198","3,099,867","872,405","$20,331,944","2,604,387","704,825",NA,NA,NA,29.4,19,23.8,NA,NA,NA,8.3,27.2,18.08571429,0,0,21.3
22/03/2020,Alabama,Alcohol,"$26,996,715","3,067,960","918,014","$21,258,133","2,711,800","751,546",NA,NA,NA,27,13.1,22.2,NA,NA,NA,7.8,27.8,18.25714286,0,0,5.3
29/03/2020,Alabama,Alcohol,"$25,294,042","2,938,816","864,310","$22,345,607","2,792,901","800,791",NA,NA,NA,13.2,5.2,7.9,NA,NA,NA,11.7,28.9,21.12857143,0,0,75.4
05/04/2020,Alabama,Alcohol,"$27,975,407","3,127,221","959,788","$21,939,784","2,795,852","780,291",NA,NA,NA,27.5,11.9,23,NA,NA,NA,5,27.8,16.17142857,0,0,15.7
12/04/2020,Alabama,Alcohol,"$25,108,986","2,846,429","850,415","$21,905,367","2,773,415","769,581",NA,NA,NA,14.6,2.6,10.5,NA,NA,NA,3.9,28.9,18.21428571,0,0,83.3
19/04/2020,Alabama,Alcohol,"$26,211,850","2,982,017","876,225","$21,935,396","2,748,690","768,610",NA,NA,NA,19.5,8.5,14,NA,NA,NA,2.2,25.6,13.71428571,0,0,96.5
